obj_name,campaign,ap_start,ap_end,count,EPIC_ID,main_type,sub_type,new_obj_name
C9 Microlense Survey,91|92,200069411,200071158,3496,,C9 Microlens Survey,null,C9 Microlense Survey
Asteroid.Trojan.Leucus,111|112,200125327,200145290,2999,,asteroid-Trojan,Leucus,Asteroid.Trojan.Leucus
Comet C/2013 A1 (Siding Springs),2,200001787,200004369,2583,,comet,Comet C/2013 A1 (Siding Springs),Comet C/2013 A1 (Siding Springs)
Comet.67P/Churyumov-Gerasimenko,10,200081804,200084003,2200,,comet,67P/Churyumov-Gerasimenko,Comet.67P/Churyumov-Gerasimenko
Asteroid.Trojan.2001 DU87,111|112,200113657,200134731,1700,,asteroid-Trojan,2001 DU87,Asteroid.Trojan.2001 DU87
Asteroid.Trojan.2001 SE182,111|112,200118031,200138874,1592,,asteroid-Trojan,2001 SE182,Asteroid.Trojan.2001 SE182
Asteroid.Trojan.1999 XM193,111|112,200109156,200131695,1573,,asteroid-Trojan,1999 XM193,Asteroid.Trojan.1999 XM193
Asteroid.Trojan.2001 OB100,111|112,200114979,200135824,1566,,asteroid-Trojan,2001 OB100,Asteroid.Trojan.2001 OB100
Asteroid.Trojan.Tuckia,111|112,200128178,200147343,1464,,asteroid-Trojan,Tuckia,Asteroid.Trojan.Tuckia
Asteroid.Trojan.1999 CL153,111|112,200108462,200130951,1373,,asteroid-Trojan,1999 CL153,Asteroid.Trojan.1999 CL153
Comet.Chiron,12,200161173,200164266,1350,,comet,Chiron,Comet.Chiron
TNO (250112) 2002 KY14,4,200006425,200007764,1340,,TNO, (250112) 2002 KY14,TNO (250112) 2002 KY14
Comet.176P,12,200147538,200148831,1294,,comet,176P,Comet.176P
TNO.1999 TS40,8,200063238,200064506,1269,,TNO,1999 TS40,TNO.1999 TS40
Comet.228P,12,200158279,200159543,1265,,comet,228P,Comet.228P
Asteroid.Trojan.1981 EK47,12,200148832,200150087,1256,,asteroid-Trojan,1981 EK47,Asteroid.Trojan.1981 EK47
TNO.2007 RY194,8,200066687,200067921,1235,,TNO,2007 RY194,TNO.2007 RY194
Asteroid.Trojan.2001 UK113,12,200155327,200156554,1228,,asteroid-Trojan,2001 UK113,Asteroid.Trojan.2001 UK113
Asteroid.Trojan.2000 WW146,13,200169492,200170705,1214,,asteroid-Trojan,2000 WW146,Asteroid.Trojan.2000 WW146
Asteroid.Hilda.2004 TN126,10,200077913,200079072,1160,,asteroid-Hilda,2004 TN126,Asteroid.Hilda.2004 TN126
TNO.Quaoar,91|92,200068780,200069356,1154,,TNO,Quaoar,TNO.Quaoar
Asteroid.Trojan.1999 XS226,111|112,200109985,200132251,1115,,asteroid-Trojan,1999 XS226,Asteroid.Trojan.1999 XS226
Asteroid.Hilda.1992 ET32,10,200072855,200073967,1113,,asteroid-Hilda,1992 ET32,Asteroid.Hilda.1992 ET32
Asteroid.Trojan.Ialmenus,111|112,200124693,200143749,1112,,asteroid-Trojan,Ialmenus,Asteroid.Trojan.Ialmenus
Asteroid.Trojan.2001 OR24,111|112,200116820,200137412,1112,,asteroid-Trojan,2001 OR24,Asteroid.Trojan.2001 OR24
Comet.90P,12,200159544,200160634,1091,,comet,90P,Comet.90P
Asteroid.Hilda.2000 DV76,10,200076283,200077338,1056,,asteroid-Hilda,2000 DV76,Asteroid.Hilda.2000 DV76
TNO.2006 UB219,8,200065666,200066686,1021,,TNO,2006 UB219,TNO.2006 UB219
Asteroid.Trojan.2000 DY4,111|112,200111766,200133457,988,,asteroid-Trojan,2000 DY4,Asteroid.Trojan.2000 DY4
Asteroid.Hilda.2000 DP99,10,200074497,200075480,984,,asteroid-Hilda,2000 DP99,Asteroid.Hilda.2000 DP99
Comet.246P,13,200172597,200173563,967,,comet,246P,Comet.246P
Comet.17P,14,200176225,200177187,963,,comet,17P,Comet.17P
Asteroid.Trojan.1998 XA13,111|112,200107527,200129842,955,,asteroid-Trojan,1998 XA13,Asteroid.Trojan.1998 XA13
Asteroid.Trojan.2001 OP94,111|112,200116360,200136853,921,,asteroid-Trojan,2001 OP94,Asteroid.Trojan.2001 OP94
TROJAN (15529),6,200046167,200047086,920,,asteroid-Trojan, (15529),TROJAN (15529)
Asteroid.Trojan.2000 QT59,12,200151470,200152384,915,,asteroid-Trojan,2000 QT59,Asteroid.Trojan.2000 QT59
Asteroid.Trojan.2001 TG218,12,200153529,200154436,908,,asteroid-Trojan,2001 TG218,Asteroid.Trojan.2001 TG218
Asteroid.Trojan.1998 XX93,111|112,200108007,200130272,885,,asteroid-Trojan,1998 XX93,Asteroid.Trojan.1998 XX93
Asteroid.Hilda.Chijagerbs,10,200084012,200084870,859,,asteroid-Hilda,Chijagerbs,Asteroid.Hilda.Chijagerbs
Asteroid.Trojan.2002 EX154,111|112,200119241,200139715,832,,asteroid-Trojan,2002 EX154,Asteroid.Trojan.2002 EX154
Asteroid.Trojan.Lipperhey,12,200163044,200163874,831,,asteroid-Trojan,Lipperhey,Asteroid.Trojan.Lipperhey
Asteroid.Hilda.2005 VZ17,10,200079669,200080499,831,,asteroid-Hilda,2005 VZ17,Asteroid.Hilda.2005 VZ17
TROJAN (13372),6,200044895,200045697,803,,asteroid-Trojan, (13372),TROJAN (13372)
Asteroid.Hilda.2000 DS8,10,200075481,200076282,802,,asteroid-Hilda,2000 DS8,Asteroid.Hilda.2000 DS8
Asteroid.Trojan.2008 SG182,111|112,200122158,200141840,778,,asteroid-Trojan,2008 SG182,Asteroid.Trojan.2008 SG182
Asteroid.Trojan.2001 PJ4,111|112,200117373,200137794,763,,asteroid-Trojan,2001 PJ4,Asteroid.Trojan.2001 PJ4
TROJAN (39301),6,200053051,200053781,731,,asteroid-Trojan, (39301),TROJAN (39301)
TROJAN (23939),6,200049196,200049925,730,,asteroid-Trojan, (23939),TROJAN (23939)
TROJAN (13366),6,200044184,200044894,711,,asteroid-Trojan, (13366),TROJAN (13366)
TNO.1999 VG135,8,200064507,200065199,693,,TNO,1999 VG135,TNO.1999 VG135
